Episode,Reward,Epsilon
0,0.04226622264832258,0.01
1,0.048249815590679646,0.01
2,0.18314311653375626,0.01
3,0.13171635009348392,0.01
4,0.1517510786652565,0.01
5,0.19194201100617647,0.01
6,0.012112148106098175,0.01
7,0.49033580254763365,0.01
8,0.08234404679387808,0.01
9,0.3966603120788932,0.01
10,0.0816282257437706,0.01
11,0.35781303979456425,0.01
12,0.31162720266729593,0.01
13,0.23094401508569717,0.01
14,0.35297683253884315,0.01
15,0.18657254800200462,0.01
16,0.14871551748365164,0.01
17,0.07980915904045105,0.01
18,0.0896934075281024,0.01
19,0.10597351938486099,0.01
20,0.17898574471473694,0.01
21,0.19034812226891518,0.01
22,0.6084398254752159,0.01
23,0.39849489461630583,0.01
24,0.3179589845240116,0.01
25,0.003102727234363556,0.01
26,0.049692207016050816,0.01
27,0.14830104541033506,0.01
28,0.0033770110458135605,0.01
29,0.16333758272230625,0.01
30,0.12273793201893568,0.01
31,0.0629161549732089,0.01
32,-0.021777497604489326,0.01
33,0.15720061864703894,0.01
34,0.46838899701833725,0.01
35,0.14301841147243977,0.01
36,0.3209867887198925,0.01
37,0.0979942511767149,0.01
38,0.3695569112896919,0.01
39,0.08120063599199057,0.01
40,0.2754927156493068,0.01
41,0.3759351512417197,0.01
42,0.21890066377818584,0.01
43,0.19558209646493196,0.01
44,0.3297914806753397,0.01
45,0.40715981367975473,0.01
46,0.08156409300863743,0.01
47,0.14858947042375803,0.01
48,0.4216081453487277,0.01
49,0.0498929163441062,0.01
50,0.08018876239657402,0.01
51,0.5810001753270626,0.01
52,0.15838091261684895,0.01
53,0.11320448573678732,0.01
54,0.1128135398030281,0.01
55,0.15521628502756357,0.01
56,0.2685053665190935,0.01
57,0.05976399127393961,0.01
58,0.15151545777916908,0.01
59,0.20018724165856838,0.01
60,0.10959802009165287,0.01
61,0.15303165093064308,0.01
62,0.12067921366542578,0.01
63,0.09275638964027166,0.01
64,0.19541911873966455,0.01
65,0.1583068948239088,0.01
66,0.07192117627710104,0.01
67,0.40387324895709753,0.01
68,0.17017944063991308,0.01
69,0.15441040880978107,0.01
70,0.13272344041615725,0.01
71,0.18003063555806875,0.01
72,0.28790653962641954,0.01
73,0.17511022370308638,0.01
74,0.05045598652213812,0.01
75,0.1697938023135066,0.01
76,0.31996621284633875,0.01
77,0.3393741939216852,0.01
78,0.6478257635608315,0.01
79,0.414226689375937,0.01
80,0.3717241259291768,0.01
81,0.38816033210605383,0.01
82,0.45475798286497593,0.01
83,0.14588463678956032,0.01
84,0.14230085723102093,0.01
85,0.3502028249204159,0.01
86,0.17551926150918007,0.01
87,0.14114752039313316,0.01
88,0.05156956426799297,0.01
89,0.1002541845664382,0.01
90,0.031532839871943,0.01
91,0.14254676084965467,0.01
92,0.43334285635501146,0.01
93,0.4336966276168823,0.01
94,0.012386925518512726,0.01
95,0.1997690824791789,0.01
96,0.13909915275871754,0.01
97,0.16544211748987436,0.01
98,0.42620621249079704,0.01
99,0.09233409445732832,0.01